tender_id,department,tender_category,tender_title,estimated_value,tender_date,submission_deadline,contract_duration_days,procurement_method,location
TEN0435,Transport,IT Services,IT Infrastructure Upgrade - Transport,8260000,2021-09-24,2021-10-25,198,Limited Tender,Fairhaven
TEN0436,Education,Office Supplies,Printer and Consumables Supply - Education,259000,2021-02-27,2021-04-06,87,Single Vendor,Northgate
TEN0437,Health,Consulting,Financial Audit Services - Health,1355000,2023-03-04,2023-03-30,98,Single Vendor,Eastwood
TEN0438,Public Works,IT Services,Network Maintenance Services - Public Works,12821000,2024-01-24,2024-03-10,112,Limited Tender,Rosedale
TEN0439,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,3706000,2023-09-09,2023-10-30,120,Open Tender,Brookfield
TEN0440,Education,Office Supplies,Printer and Consumables Supply - Education,198000,2022-06-07,2022-06-24,32,Limited Tender,Meridian City
TEN0441,Transport,Construction,Drainage System Upgrade - Transport,40247000,2021-05-19,2021-06-19,254,Limited Tender,Fairhaven
TEN0442,Public Works,Consulting,Policy Advisory Services - Public Works,493000,2021-04-16,2021-05-31,244,Open Tender,Rosedale
TEN0443,IT & Digital Services,IT Services,Software Development Services - IT & Digital Services,2165000,2022-09-11,2022-10-22,129,Limited Tender,Fairhaven
TEN0444,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,8749000,2021-05-13,2021-05-30,323,Open Tender,Meridian City
TEN0445,Public Works,Construction,Government Building Renovation - Public Works,29204000,2023-04-03,2023-05-26,538,Open Tender,Lakeside
TEN0446,Education,Medical Supplies,Hospital Consumables Supply - Education,7544000,2022-01-24,2022-03-23,132,Single Vendor,Clearwater
TEN0447,Health,IT Services,IT Infrastructure Upgrade - Health,10713000,2024-11-01,2024-12-22,277,Open Tender,Lakeside
TEN0448,Transport,Construction,Road Construction Project - Transport,19742000,2024-11-06,2024-12-09,360,Open Tender,Rosedale
TEN0449,IT & Digital Services,Medical Supplies,Medical Equipment Supply - IT & Digital Services,1734000,2021-11-22,2022-01-10,91,Open Tender,Meridian City
TEN0450,Public Works,IT Services,Software Development Services - Public Works,11719000,2024-07-24,2024-08-13,180,Open Tender,Eastwood
TEN0451,Public Works,Consulting,Training and Capacity Building - Public Works,7453000,2024-10-21,2024-12-17,134,Limited Tender,Eastwood
TEN0452,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,14007000,2022-11-03,2022-12-05,130,Open Tender,Fairhaven
TEN0453,Health,Construction,Drainage System Upgrade - Health,4456000,2022-08-30,2022-10-18,328,Open Tender,Northgate
TEN0454,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,7268000,2021-03-03,2021-05-01,30,Open Tender,Eastwood
TEN0455,Health,IT Services,Network Maintenance Services - Health,5827000,2021-12-28,2022-02-25,271,Open Tender,Fairhaven
TEN0456,Education,Consulting,Financial Audit Services - Education,5281000,2023-12-08,2024-01-18,286,Limited Tender,Fairhaven
TEN0457,Health,Construction,Government Building Renovation - Health,46577000,2021-08-08,2021-08-27,204,Open Tender,Clearwater
TEN0458,Transport,Construction,Drainage System Upgrade - Transport,27091000,2022-09-10,2022-10-24,305,Limited Tender,Brookfield
TEN0459,IT & Digital Services,Medical Supplies,Pharmaceutical Supply - IT & Digital Services,9034000,2024-02-28,2024-04-26,164,Limited Tender,Lakeside
TEN0460,Public Works,IT Services,Network Maintenance Services - Public Works,10965000,2023-06-10,2023-07-11,289,Framework Agreement,Meridian City
TEN0461,Health,Consulting,Training and Capacity Building - Health,5692000,2022-06-20,2022-08-02,171,Framework Agreement,Lakeside
TEN0462,Health,Construction,Drainage System Upgrade - Health,33497000,2024-04-03,2024-04-20,627,Framework Agreement,Meridian City
TEN0463,Health,Office Supplies,Office Furniture Supply - Health,1836000,2022-05-14,2022-07-06,43,Open Tender,Meridian City
TEN0464,IT & Digital Services,Construction,Drainage System Upgrade - IT & Digital Services,2277000,2021-05-12,2021-06-06,193,Limited Tender,Meridian City
TEN0465,Health,Medical Supplies,Ambulance Procurement - Health,4868000,2023-06-28,2023-08-05,33,Open Tender,Northgate
TEN0466,Public Works,Medical Supplies,Pharmaceutical Supply - Public Works,6855000,2021-04-29,2021-05-26,91,Open Tender,Rosedale
TEN0467,Education,Consulting,Technical Consulting Services - Education,1606000,2021-03-15,2021-04-21,294,Open Tender,Eastwood
TEN0468,Education,IT Services,Data Center Setup - Education,1389000,2022-05-10,2022-05-28,338,Limited Tender,Northgate
TEN0469,Health,Office Supplies,Office Equipment Procurement - Health,1640000,2022-12-08,2023-01-28,70,Open Tender,Clearwater
TEN0470,Health,Consulting,Policy Advisory Services - Health,7281000,2024-04-21,2024-06-02,177,Open Tender,Rosedale
TEN0471,Health,Medical Supplies,Medical Equipment Supply - Health,2243000,2024-04-30,2024-05-26,104,Framework Agreement,Northgate
TEN0472,Health,Medical Supplies,Pharmaceutical Supply - Health,8148000,2024-03-25,2024-04-27,67,Open Tender,Clearwater
TEN0473,Health,IT Services,Data Center Setup - Health,12804000,2021-02-08,2021-04-07,193,Single Vendor,Fairhaven
TEN0474,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,7335000,2024-11-09,2024-12-14,90,Open Tender,Northgate
TEN0475,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,1145000,2023-03-31,2023-05-01,100,Open Tender,Lakeside
TEN0476,Transport,Medical Supplies,Ambulance Procurement - Transport,1022000,2021-11-18,2021-12-25,178,Open Tender,Lakeside
TEN0477,IT & Digital Services,Construction,Bridge Construction - IT & Digital Services,14475000,2021-01-31,2021-03-13,182,Open Tender,Fairhaven
TEN0478,Public Works,IT Services,Network Maintenance Services - Public Works,14849000,2024-09-05,2024-09-27,257,Framework Agreement,Fairhaven
TEN0479,Public Works,Construction,Bridge Construction - Public Works,16921000,2021-01-12,2021-02-12,364,Open Tender,Lakeside
TEN0480,Health,Consulting,Training and Capacity Building - Health,1370000,2023-11-22,2024-01-13,365,Open Tender,Fairhaven
TEN0481,Education,Construction,Drainage System Upgrade - Education,10340000,2021-05-24,2021-07-21,500,Limited Tender,Eastwood
TEN0482,Education,Construction,Government Building Renovation - Education,5256000,2023-02-06,2023-03-30,624,Open Tender,Lakeside
TEN0483,Education,Office Supplies,Stationery Supply - Education,1442000,2024-09-05,2024-10-17,42,Open Tender,Rosedale
TEN0484,IT & Digital Services,Office Supplies,Printer and Consumables Supply - IT & Digital Services,163000,2024-10-16,2024-11-13,68,Open Tender,Northgate
TEN0485,IT & Digital Services,Office Supplies,Stationery Supply - IT & Digital Services,1096000,2024-02-26,2024-04-08,86,Limited Tender,Rosedale
TEN0486,IT & Digital Services,Construction,Bridge Construction - IT & Digital Services,29551000,2023-11-16,2023-12-18,634,Limited Tender,Northgate
TEN0487,Education,Medical Supplies,Hospital Consumables Supply - Education,6473000,2021-04-17,2021-06-08,125,Limited Tender,Northgate
TEN0488,Education,Medical Supplies,Ambulance Procurement - Education,7910000,2023-04-19,2023-05-23,135,Framework Agreement,Rosedale
TEN0489,IT & Digital Services,Medical Supplies,Medical Equipment Supply - IT & Digital Services,2391000,2021-04-30,2021-05-15,139,Limited Tender,Rosedale
TEN0490,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,3461000,2024-03-21,2024-05-06,143,Open Tender,Meridian City
TEN0491,IT & Digital Services,Consulting,Training and Capacity Building - IT & Digital Services,5533000,2023-04-10,2023-05-13,221,Open Tender,Rosedale
TEN0492,Health,Construction,Government Building Renovation - Health,30569000,2022-01-10,2022-03-07,672,Open Tender,Northgate
TEN0493,IT & Digital Services,Office Supplies,Stationery Supply - IT & Digital Services,654000,2021-04-25,2021-06-08,107,Framework Agreement,Rosedale
TEN0494,Public Works,Office Supplies,Stationery Supply - Public Works,266000,2023-10-31,2023-12-06,111,Open Tender,Eastwood
TEN0495,Transport,Construction,Drainage System Upgrade - Transport,49434000,2024-10-05,2024-10-24,511,Open Tender,Rosedale
TEN0496,Health,Medical Supplies,Ambulance Procurement - Health,1746000,2024-12-24,2025-02-01,67,Open Tender,Eastwood
TEN0497,Public Works,Medical Supplies,Pharmaceutical Supply - Public Works,2236000,2022-10-24,2022-11-20,39,Open Tender,Fairhaven
TEN0498,Public Works,Office Supplies,Stationery Supply - Public Works,1211000,2023-03-31,2023-05-13,59,Limited Tender,Eastwood
TEN0499,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,6358000,2022-02-13,2022-03-26,91,Open Tender,Eastwood
TEN0500,Health,IT Services,Software Development Services - Health,10105000,2022-03-10,2022-04-09,110,Limited Tender,Meridian City
